part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[10,20)","[20,45)",2835157,2793803,5628960,1.351987096,1.480220025,1.380724377,2.351696975,3.269534928,4.77E-07,5.22E-07,4.94E-07,8.42E-07,5.81E-07
"[20,45)","[20,45)",2835157,2793803,5628960,4.222425283,2.839154882,2.797741356,4.575611469,7.216017002,1.49E-06,1.00E-06,1.00E-06,1.64E-06,1.28E-06
"[45,65)","[20,45)",2835157,2793803,5628960,2.695110795,1.535189723,2.17353992,2.486698041,4.448221945,9.51E-07,5.41E-07,7.78E-07,8.90E-07,7.90E-07
"[65,80)","[20,45)",2835157,2793803,5628960,0.988322325,0.655037803,1.215407561,1.159545459,1.993286023,3.49E-07,2.31E-07,4.35E-07,4.15E-07,3.54E-07
"[0,1)","[45,65)",2217144,2186433,4403577,0.33302,0.60133,0.50214,0.89241,1.155824271,1.50E-07,2.71E-07,2.30E-07,4.08E-07,2.62E-07
"[1,5)","[45,65)",2217144,2186433,4403577,0.44305141,0.582625548,0.62579102,0.830055385,1.23678128,2.00E-07,2.63E-07,2.86E-07,3.80E-07,2.81E-07
"[5,10)","[45,65)",2217144,2186433,4403577,0.790933196,0.662277072,0.820786504,0.809941378,1.543502692,3.57E-07,2.99E-07,3.75E-07,3.70E-07,3.51E-07
"[10,20)","[45,65)",2217144,2186433,4403577,1.217350018,1.39185396,1.044523581,1.104105116,2.376194871,5.49E-07,6.28E-07,4.78E-07,5.05E-07,5.40E-07
"[20,45)","[45,65)",2217144,2186433,4403577,2.107631197,1.724897683,1.183913715,1.946119935,3.479887338,9.51E-07,7.78E-07,5.41E-07,8.90E-07,7.90E-07
"[45,65)","[45,65)",2217144,2186433,4403577,2.843524003,1.979855495,1.952434492,2.309320825,4.544334583,1.28E-06,8.93E-07,8.93E-07,1.06E-06,1.03E-06
"[65,80)","[45,65)",2217144,2186433,4403577,1.055931814,0.552060279,1.126241964,1.179147957,1.938299298,4.76E-07,2.49E-07,5.15E-07,5.39E-07,4.40E-07
"[0,1)","[65,80)",847632,998188,1845820,0.10875,0.11167,0.16315,0.12643,0.255442694,1.28E-07,1.32E-07,1.63E-07,1.27E-07,1.38E-07
"[1,5)","[65,80)",847632,998188,1845820,0.113692161,0.136127477,0.171683305,0.193511235,0.306994681,1.34E-07,1.61E-07,1.72E-07,1.94E-07,1.66E-07
"[5,10)","[65,80)",847632,998188,1845820,0.124014535,0.19323356,0.169178268,0.32290367,0.402214061,1.46E-07,2.28E-07,1.69E-07,3.23E-07,2.18E-07
"[10,20)","[65,80)",847632,998188,1845820,0.134253139,0.218525688,0.1521422,0.337998391,0.418319206,1.58E-07,2.58E-07,1.52E-07,3.39E-07,2.27E-07
"[20,45)","[65,80)",847632,998188,1845820,0.295484523,0.368738737,0.230613393,0.414287553,0.653618321,3.49E-07,4.35E-07,2.31E-07,4.15E-07,3.54E-07
"[45,65)","[65,80)",847632,998188,1845820,0.403695089,0.436620231,0.248542576,0.538333344,0.812470293,4.76E-07,5.15E-07,2.49E-07,5.39E-07,4.40E-07
"[65,80)","[65,80)",847632,998188,1845820,0.97846346,0.965324132,1.136789762,1.303488301,2.198295426,1.15E-06,1.14E-06,1.14E-06,1.31E-06,1.19E-06
