157 436 137 310 1040 1027 616
199 491 178 281 1069 982 729
178 467 189 257 1029 1089 722
198 460 143 221 998 1075 691
207 488 178 240 1093 1150 772
218 585 207 277 1184 1202 796
224 670 229 305 1136 1266 786
288 772 270 342 1194 1228 850
326 745 292 366 1290 1275 831
394 865 321 376 1313 1403 964
444 1090 390 486 1466 1501 1086
468 1211 482 529 1680 1752 1291
376 827 290 270 1069 1152 862
96 1097 301 297 1484 1604 1329
133 999 311 528 2015 2270 1790
101 1145 404 527 1710 1940 1563
147 1395 483 575 1654 1799 1448
183 1466 547 630 1784 1989 1435
223 1397 493 617 1886 2161 1462
206 1327 469 624 2003 2351 1791
209 1231 454 554 1831 2176 1567
204 1106 284 545 1967 2278 1510
202 946 262 526 1864 2285 1428
175 821 269 452 1479 2021 1296
184 852 253 399 1436 1926 1137
199 730 231 423 1298 1689 1071
133 713 238 335 1236 1515 1048
153 606 166 300 1017 1345 887
141 664 187 313 1172 1381 1039
108 617 200 280 1034 1240 872
116 497 132 203 777 970 754
110 410 91 155 734 834 649
101 392 89 171 681 848 679
112 349 87 174 754 896 625
112 321 93 162 582 679 533
