256 584 159 320 1184 1092 713
236 623 193 259 1108 1132 755
247 591 168 232 1041 1115 790
258 572 145 165 1008 1073 728
239 512 139 226 1068 1090 823
265 529 166 219 888 1024 743
296 564 186 220 958 985 709
298 632 227 271 956 949 737
371 681 225 322 1019 1030 749
365 763 191 298 1075 1050 738
459 866 221 310 1139 1137 806
504 922 216 285 1094 1216 958
392 641 132 106 671 669 549
277 724 134 158 904 1084 847
293 676 170 317 1446 1565 1266
276 758 185 263 1060 1211 1002
355 885 199 274 1140 1211 853
389 944 318 332 1244 1330 902
381 908 285 338 1337 1428 988
360 860 269 360 1388 1456 1053
334 808 268 336 1380 1400 900
307 726 245 278 1309 1398 870
303 664 214 271 1303 1318 866
280 632 188 325 1391 1400 912
317 620 255 293 1364 1364 925
265 669 251 321 1267 1275 887
237 754 296 335 1293 1312 915
217 738 271 292 1260 1185 858
223 698 257 280 1222 1149 808
193 570 176 224 940 1036 746
186 480 150 179 949 997 747
179 450 112 222 931 986 758
187 416 143 192 848 975 636
158 526 136 236 889 952 674
167 396 124 160 746 741 541
