35 2 0 0 0 1 3
38 0 0 0 0 0 4
43 4 0 1 0 2 1
36 0 0 0 1 6 2
54 9 0 0 2 5 6
60 9 0 0 0 2 4
61 16 0 0 1 1 6
71 16 2 2 1 6 10
97 23 0 1 2 5 14
108 21 0 0 5 8 25
138 24 0 1 3 18 33
101 19 0 1 9 18 53
127 9 0 4 4 20 75
123 10 0 2 3 27 94
69 7 1 1 2 19 76
33 6 0 0 3 19 60
28 5 2 1 1 9 43
31 5 0 1 3 10 37
25 2 1 0 3 16 39
19 2 0 0 1 9 31
12 4 0 0 0 4 20
13 5 0 0 3 6 14
7 2 0 0 0 2 12
8 2 0 0 0 3 12
7 0 0 0 1 3 9
7 1 0 0 1 1 5
7 2 1 0 0 3 4
4 0 0 0 1 1 5
4 3 0 0 0 1 5
9 1 0 0 0 0 4
3 1 0 0 0 1 4
6 0 0 0 0 1 1
6 1 0 0 1 4 3
3 1 0 1 0 1 5
5 0 0 0 0 2 5
