0 1 0 0 3 5 1
2 2 2 3 5 5 6
0 2 0 3 5 7 4
0 2 0 1 2 9 1
0 1 0 2 7 6 5
2 5 0 2 3 2 7
2 2 0 1 3 6 7
0 2 1 0 2 5 2
1 3 1 3 4 6 2
0 2 0 2 8 4 4
2 6 1 1 5 6 4
3 6 2 5 3 6 7
4 4 1 2 8 6 4
2 3 1 4 5 3 2
2 2 1 4 5 10 12
3 11 3 7 15 8 8
9 10 6 3 19 17 3
4 11 13 2 20 27 7
4 10 6 5 9 14 6
2 10 5 7 17 20 11
1 6 5 8 21 12 6
2 5 4 11 9 13 6
0 6 6 7 12 19 7
2 3 6 7 21 12 5
0 4 7 0 14 12 3
2 3 0 2 9 7 4
0 1 3 2 7 8 0
1 4 1 2 8 1 1
0 0 1 1 1 8 1
0 2 1 1 4 4 1
0 3 0 1 4 2 0
0 1 0 0 2 1 1
0 2 0 1 3 4 2
0 0 0 0 3 1 0
0 1 0 0 0 2 1
